Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
02-01-2020,72.46824646,72.52856629,71.22324426,71.47658461,135480400
03-01-2020,71.76372528,72.52375387,71.53933722,71.69616735,146322800
06-01-2020,72.3355484,72.37415398,70.63453188,70.88546447,118387200
07-01-2020,71.99536896,72.60097529,71.7758038,72.3452197,108872000
08-01-2020,73.15349579,73.45509501,71.69858142,71.69858142,132079200
09-01-2020,74.70735168,74.90037228,73.879765,74.13069031,170108400
10-01-2020,74.87622833,75.44082857,74.37437045,74.94137848,140644800
13-01-2020,76.47592163,76.5024662,75.07408881,75.19232073,121532000
14-01-2020,75.44324493,76.6231048,75.32019744,76.41319288,161954400
15-01-2020,75.11991119,76.12363416,74.6880191,75.24296602,121923600
16-01-2020,76.06092072,76.17191455,75.30089203,75.66281115,108829200
17-01-2020,76.90296173,76.90536952,76.0029872,76.30940929,137816400
21-01-2020,76.38180542,76.97293541,76.24427442,76.53139744,110843200
22-01-2020,76.65445709,77.20698154,76.56035461,76.86677675,101832400
23-01-2020,77.02362823,77.1032472,76.15984383,76.7075528,104472000
24-01-2020,76.80164337,78.01286328,76.61103059,77.26972599,146537600
27-01-2020,74.54327393,75.22367624,73.561265,74.81109053,161940000
28-01-2020,76.6520462,76.8233525,75.32500962,75.42393505,162234000
29-01-2020,78.25653839,79.10343121,77.54235362,78.28308295,216229200
30-01-2020,78.14313507,78.19621682,76.90778608,77.33967815,126743200
31-01-2020,74.67836761,77.85601226,74.38400654,77.43377343,199588400
03-02-2020,74.4732666,75.63864233,72.91942738,73.42128507,173788400
04-02-2020,76.93193054,77.12254331,75.6724519,76.07779949,136616400
05-02-2020,77.55926514,78.35789935,76.95606664,78.05870789,118826800
06-02-2020,78.46646881,78.46888396,77.27214024,77.82949505,105425600
07-02-2020,77.39990234,78.21494248,76.90894303,77.96583519,117684000
10-02-2020,77.76753235,77.76753235,75.90527579,75.98508372,109348800
11-02-2020,77.29832458,78.33587187,77.08065923,78.26331921,94323200
12-02-2020,79.13396454,79.13879892,77.74815015,77.74815015,113730400
13-02-2020,78.57044983,78.89695147,78.20283748,78.40599226,94747600
14-02-2020,78.58981323,78.83892051,78.08192254,78.539019,80113600
18-02-2020,77.15077972,77.3321687,76.08904602,76.270435,152531200
19-02-2020,78.26815033,78.4979127,77.39264719,77.39264719,93984000
20-02-2020,77.4651947,78.51725241,76.95972489,78.02871401,100566000
21-02-2020,75.71175385,77.50146427,75.09503429,77.05887105,129554000
24-02-2020,72.11543274,73.56654484,69.95086161,71.89293302,222195200
25-02-2020,69.67273712,73.16750229,69.20113004,72.78537929,230673600
26-02-2020,70.77796936,72.04285767,69.29058139,69.29783666,198054800
27-02-2020,66.15135956,69.16967532,66.01592302,67.98460194,320605600
28-02-2020,66.1126709,67.33402814,62.00360705,62.21885891,426510000
02-03-2020,72.26778412,72.90385596,67.16712713,68.26997149,341397200
03-03-2020,69.97264099,73.52302752,69.121317,73.44321959,319475600
04-03-2020,73.21827698,73.37790019,70.89408265,71.69461223,219178400
05-03-2020,70.84329987,72.44677262,70.47810094,71.47210924,187572800
06-03-2020,69.90248108,70.33539821,68.01603849,68.20226187,226176800
09-03-2020,64.37374115,67.25661246,63.60706717,63.78845614,286744800
10-03-2020,69.01006317,69.2761019,65.14768563,67.02688079,285290000
11-03-2020,66.61330414,68.01362949,65.7498906,67.08733944,255598800
12-03-2020,60.03492355,65.30004286,59.97929862,61.89960418,418474000
13-03-2020,67.22759247,67.69920676,61.17645514,64.06417194,370732000
16-03-2020,58.57897949,62.65901821,58.0444849,58.51609561,322423600
17-03-2020,61.15468597,62.30347908,57.65750505,59.86077653,324056000
18-03-2020,59.65763855,60.46300624,57.34795097,57.98886105,300233600
19-03-2020,59.20053101,61.14985749,58.67571262,59.83176486,271857200
20-03-2020,55.44216156,60.90559812,55.14226371,59.78098395,401693200
23-03-2020,54.26432419,55.26317398,51.42014641,55.1615966,336752800
24-03-2020,59.70842361,59.90432315,56.66592498,57.16413951,287531200
25-03-2020,59.37950516,62.45828014,59.08444542,60.64439011,303602000
26-03-2020,62.50423813,62.56228025,59.58266521,59.62136242,252087200
27-03-2020,59.91641998,61.88267437,59.7495415,61.12809726,204216800
30-03-2020,61.62630844,61.79802499,60.31788822,60.64197271,167976400
31-03-2020,61.5005455,63.48373123,60.94670603,61.81737473,197002000
01-04-2020,58.2645607,60.15342405,57.83406448,59.61651237,176218400
02-04-2020,59.23681259,59.29002033,57.2947412,58.12671272,165934000
03-04-2020,58.38549423,59.42303772,57.79537474,58.72166838,129880000
06-04-2020,63.47890854,63.63369001,60.31306606,60.68067852,201820400
07-04-2020,62.74368668,65.71121658,62.63969205,65.49354379,202887200
08-04-2020,64.34954834,64.66395291,63.17898582,63.54417724,168895200
09-04-2020,64.81391907,65.31697539,64.01823125,64.98563931,161834800
13-04-2020,66.08605194,66.19488828,64.29150705,64.8913026,131022800
14-04-2020,69.42364502,69.7138705,67.24697604,67.7185906,194994800
15-04-2020,68.78997803,69.24949545,67.87094317,68.29901865,131154400
16-04-2020,69.33656311,69.70176206,68.28692612,69.50344161,157125200
17-04-2020,68.39572906,69.39942057,66.95912788,68.8528328,215250000
20-04-2020,66.97608185,68.12487901,66.95673693,67.22277565,130015200
21-04-2020,64.90581512,67.0534619,64.19476971,66.81886518,180991600
22-04-2020,66.77534485,67.21067554,65.83212344,66.17312829,116862400
23-04-2020,66.51654816,68.14179372,66.47785096,66.71970293,124814400
24-04-2020,68.43686676,68.44654291,66.9930099,67.04138325,126161200
27-04-2020,68.48525238,68.81658853,67.70648844,68.15390885,117087600
28-04-2020,67.37511444,69.12854112,67.2832169,68.94715215,112004800
29-04-2020,69.58807373,70.05726717,68.659363,68.86251778,137280800
30-04-2020,71.05610657,71.23266116,69.73801775,70.12739588,183064000
01-05-2020,69.91215515,72.31374359,69.13339146,69.23013078,240616800
04-05-2020,70.90133667,71.02951794,69.24706979,69.9363495,133568000
05-05-2020,71.96547699,72.79744842,71.21573435,71.36084702,147751200
06-05-2020,72.70796967,73.33919986,72.28230777,72.66685158,142333600
07-05-2020,73.46013641,73.80599044,73.03206096,73.33437601,115215200
08-05-2020,75.20861053,75.26196231,73.79237217,74.11975773,133838400
11-05-2020,76.39203644,76.88674477,74.50775468,74.71631429,145946400
12-05-2020,75.51900482,77.5269598,75.39775148,77.07589354,162301200
13-05-2020,74.60718536,76.61999543,73.53045502,75.69846552,200622400
14-05-2020,75.06552124,75.12614791,73.12304033,73.84571291,158929200
15-05-2020,74.62172699,74.66780385,72.80292692,72.83688141,166348400
18-05-2020,76.37992096,76.75338341,75.25469353,75.94583922,135178400
19-05-2020,75.93855286,77.24323271,75.9070258,76.39688668,101729600
20-05-2020,77.41542053,77.48574215,76.75822201,76.79702397,111504800
21-05-2020,76.83824921,77.81797834,76.60058998,77.27718574,102688800
22-05-2020,77.33297729,77.4154287,76.47450137,76.57635006,81803200
26-05-2020,76.8091507,78.630371,76.75337149,78.45091841,125522000
27-05-2020,77.14381409,77.28931961,75.92643294,76.66608292,112945200
28-05-2020,77.17774963,78.43635987,76.54238333,76.81883709,133560800
29-05-2020,77.1026001,77.88104473,76.74611486,77.42028336,153532400
01-06-2020,78.05078888,78.17204224,76.92555415,77.05650985,80791200
02-06-2020,78.41209412,78.43634626,77.34263897,77.78400282,87642800
03-06-2020,78.84376526,79.1056766,78.15989469,78.73221427,104491200
04-06-2020,78.1647644,78.96503359,77.791302,78.66675507,87560400
05-06-2020,80.39096069,80.45158736,78.38543321,78.41453282,137250400
08-06-2020,80.86629486,80.90024936,79.37730734,80.0878503,95654400
09-06-2020,83.4198761,83.81273576,80.51465061,80.54617767,147712400
10-06-2020,85.56606293,86.03409908,83.92914271,84.36807924,166651600
11-06-2020,81.45799255,85.13439472,81.35614389,84.71000803,201662400
12-06-2020,82.16127014,84.34383053,81.05059267,83.59691312,200146000
15-06-2020,83.17735291,83.82969638,80.65285781,80.81534052,138808800
16-06-2020,85.38175201,85.65336572,83.59690633,85.23139905,165428800
17-06-2020,85.26293182,86.18688178,85.14167847,86.1262551,114406400
18-06-2020,85.29688263,85.71399444,84.68818846,85.21927871,96820400
19-06-2020,84.80944061,86.4681855,83.70118325,86.00257679,264476000
22-06-2020,87.02837372,87.17145178,85.1562218,85.20229866,135445200
23-06-2020,88.8859787,90.30464435,87.85289781,88.27243706,212155600
24-06-2020,87.31697083,89.4340572,86.9435084,88.51495464,192623200
25-06-2020,88.47614288,88.51494484,86.71312185,87.472169,137522400
26-06-2020,85.75764465,88.59254854,85.60971172,88.37186656,205256800
29-06-2020,87.73407745,87.82865862,85.18775699,85.66549551,130646000
30-06-2020,88.46643829,88.75260181,87.30240913,87.32180641,140223200
01-07-2020,88.29910278,89.08724948,88.25060589,88.5440369,110737200
02-07-2020,88.29910278,89.8414491,88.18513175,89.20608279,114041600
06-07-2020,90.66114044,91.12917664,89.69596101,89.72748807,118655600
07-07-2020,90.37984467,91.81790797,90.26829363,91.03946335,112424400
08-07-2020,92.4847641,92.51629115,91.26980336,91.35710961,117092000
09-07-2020,92.88249207,93.43055217,91.83486136,93.3772004,125642800
10-07-2020,93.04497528,93.10318193,91.86639619,92.47751045,90257200
13-07-2020,92.61572266,96.95901798,92.4023156,94.34964386,191649200
14-07-2020,94.14836884,94.33994378,91.06368364,91.99732842,170989200
15-07-2020,94.79586029,96.27272509,93.59787669,96.02294351,153198000
16-07-2020,93.62940216,94.48545044,93.03041037,93.66820412,110577600
17-07-2020,93.44023895,94.23566049,92.96734801,94.08046008,92186800
